,0
0,13
1,4
2,2
3,2
4,7
5,6
6,7
7,3
8,9
9,10
10,3
11,6
12,10
13,5
14,5
15,7
16,7
17,11
18,2
19,0
20,5
21,1
22,8
23,10
24,6
25,11
26,8
27,6
28,12
29,5
30,9
31,5
32,5
33,12
34,8
35,3
36,9
37,3
38,5
39,11
40,5
41,1
42,15
43,8
44,13
45,13
46,11
47,8
48,0
49,7
50,8
51,13
52,4
53,12
54,2
55,2
56,4
57,6
58,11
59,7
60,14
61,8
62,10
63,10
64,6
65,4
66,9
67,6
68,4
69,11
70,7
71,0
72,10
73,10
74,0
75,2
76,14
77,12
78,15
79,13
80,9
81,0
82,12
83,3
84,10
85,12
86,4
87,5
88,4
89,15
90,1
91,10
92,15
93,14
94,14
95,15
96,8
97,4
98,2
99,4
