,0
0,14
1,11
2,11
3,9
4,1
5,10
6,11
7,15
8,10
9,3
10,10
11,12
12,6
13,6
14,6
15,7
16,4
17,11
18,9
19,12
20,2
21,3
22,15
23,11
24,0
25,7
26,6
27,12
28,5
29,1
30,0
31,0
32,9
33,8
34,4
35,4
36,2
37,4
38,15
39,1
40,5
41,15
42,2
43,0
44,15
45,3
46,14
47,12
48,5
49,15
50,12
51,0
52,4
53,9
54,2
55,14
56,2
57,3
58,10
59,11
60,5
61,1
62,8
63,14
64,0
65,3
66,8
67,12
68,10
69,13
70,12
71,8
72,1
73,12
74,9
75,9
76,9
77,10
78,5
79,14
80,9
81,14
82,4
83,9
84,9
85,12
86,13
87,7
88,13
89,2
90,6
91,10
92,15
93,7
94,2
95,6
96,10
97,15
98,13
99,10
